Scheme number: 0. Matrix A x Matrix B: [[0, 1, 1], [1, 1, 0]] x [[1], [0], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 1. Matrix A x Matrix B: [[1, 0, 0], [0, 1, 1]] x [[1], [1], [1]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 2. Matrix A x Matrix B: [[0, 1, 0], [0, 0, 0]] x [[1], [1], [1]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 3. Matrix A x Matrix B: [[0, 1, 0], [0, 1, 0]] x [[0], [1], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 4. Matrix A x Matrix B: [[1, 1, 0], [0, 0, 0]] x [[0], [1], [1]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 5. Matrix A x Matrix B: [[0, 0, 1], [0, 1, 1]] x [[0], [1], [1]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 6. Matrix A x Matrix B: [[1, 0, 0], [0, 1, 0]] x [[1], [1], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 7. Matrix A x Matrix B: [[1, 0, 1], [0, 0, 0]] x [[1], [1], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 8. Matrix A x Matrix B: [[1, 1, 1], [0, 1, 1]] x [[0], [1], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 9. Matrix A x Matrix B: [[0, 1, 1], [1, 1, 1]] x [[1], [1], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 10. Matrix A x Matrix B: [[0, 0, 1], [1, 0, 1]] x [[1], [1], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 11. Matrix A x Matrix B: [[1, 1, 0], [1, 1, 0]] x [[0], [1], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 12. Matrix A x Matrix B: [[1, 1, 1], [1, 1, 0]] x [[1], [0], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 13. Matrix A x Matrix B: [[1, 0, 0], [0, 0, 0]] x [[1], [0], [1]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 14. Matrix A x Matrix B: [[1, 1, 0], [0, 1, 1]] x [[0], [0], [1]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 15. Matrix A x Matrix B: [[1, 1, 0], [1, 0, 1]] x [[0], [1], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 16. Matrix A x Matrix B: [[0, 0, 0], [1, 1, 0]] x [[1], [0], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 17. Matrix A x Matrix B: [[1, 0, 0], [0, 0, 0]] x [[1], [0], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 18. Matrix A x Matrix B: [[0, 0, 1], [0, 0, 1]] x [[1], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
